page_id,unique_ads
fc9c9a5e903a34a38324633fcd75aacdb6790d7cc9d2ea98f48dcd3f228c474e,8
1c62097aec18f6441f1cdc0c1f46c66f709db9d574bb6370970f738d4e6ccffd,13
76fd84633946c44030046e859eb119530b2a65c65778f2cbafffe6d9362bdfd9,110
4d2946948c9ab809e17110ce590ccfab346387e0195146fefd1f35986ab07463,35
c6bd4b1333d77a6448df23f7c0aa9c4064178e0748c2a6876c36a378194a3253,1
aab34d5e138a585f3f90907b581f9b4e7f8a05b67ad7e6353e92fe2833b97b6e,26
388b2cf46102ab491b17cccd6ad4c592b6596100f3a3ab2a87692e617faa6e86,12
7227629aac79d7b2f7dc45a4c69258389ff3105d8a2871da21bf8e348c3d26a1,12
f7eb144dae32770fe7b21da0d469891edf061d6d9a78756b8bda86264447885f,19
f2073a1f7fd2cbbd6e8515855c5b0b62f92aec33f3d89c21a5dd1a7a227d90b3,47
a09b0c32d7d484ba81865f7337fd489e2e906eaa1f2194b3decacbb0fa1bd7cd,22
e7a8766b9df433af89b19b73a1356abd3bef6f08d37695d43444393a1ca2f691,12
0476f45012eced7937b9a24dc239eec27addf352b783adf2ecb961000d04c1f5,1
5548e1c40cc17d4a399cd25952304845862aa6847c790a8452f056551890f51b,6
bb20b7696b30e5c548d2157f250ad2dd033b5f14e58f07567b10cbc10d459535,72
10cbddc56bd1ad4a4a2c8983311307c524d193daf0fadcbdb07299415ba850e8,3
0979f22c3dc6c624cbe0870371231cdb1bc9db78cd13614748e609b15f6b5dcd,838
a9df479cef8a5418cb8f659cd5aceed53b318e405191d689e39c14ce2c57f0a0,11
f7ac85faa9f972afa5475e3e14ac95f4dba70e7cc98b56ab05ddab5d5cc6f9f0,139
ec921b7c82eeb6e49c3a17970ac1902726a5424177965b4ae3c94f2dd34d5c02,116
7c2fed3ee79d596b960d589e01c41cc3a5d549aecc201d4ebf2805b2cb1e7b38,2
d0c1dcb27b4d89d024820fdcd6043865e919d6a5f99cf9dec286f5405d74e8e1,177
4ade404186269ec62d2dd7d9e0ed5f93a5f32c057516879d627ea9fbd628ef9b,14822
8b7f6ef1ab3db3293eb63dd15f3fe0a384317c73cc242670e8b7165f30012ad7,70
21263e947425c71f147b1020ad7f70cdba92265a999442090fba66871d661647,10
c5c23fea45a450eaf1d644e885487ae7f72a44eea17308d7a1c2b33d17286924,184
b568d842fd12a24bcf7be26f6921be1ff511d8e892108800d8d5a88d201e1f73,1
8a3125b934189c76b03f024fc02955bc0f1ef2d55065cc03c29eeb31f3713500,8
d970cf5a91f9c7c649f0a1c09f9c10cd7f78251d545ba0ed520b775c1ce65950,78
4ef2f1c963bfc6749dc3086779f8359b536f194d5796338d60aa0840d1c44739,60
89792a0a8cf4cd3e392e1779081487ce48201dc820933ee0b3735b2640db6b64,266
8ce60a7eadbddabebfab35c8a3a57fcb3b00f9eaab2f832e9a376d4081e902dd,2
589d26d1aa54c116e27fde86d0a04b78d53a926d3a4662aea5e0f5397a2c70e3,174
8a7156097c68a2d113f8fc29b5d43d7574349b2eaddf738d81c1c707347e9cd2,33
